from,to,population
Southern Qi,Western Wei,2797956.6635288894
Stateless & unmapped,Chandela Kingdom,2796836.277050972
Kingdom of Italy,(Holy Roman Empire),2794718.6876220554
Salian Franks,Kingdom of the Franks,2792188.225098908
Western Kushans,Indo-Sasanian Empire,2791629.9760860726
Pandya Dynasty,Chola Empire,2791502.937713623
French Africa,Republic of the Congo,2782386.3451815248
French Consulate,German Confederation,2771761.838256836
Kushan Empire,Western Kushans,2767265.9151479285
Southern Han,Northern Song,2765371.0281801224
Funj Sultanate,Muhammad Ali dynasty,2763511.3616496325
Crown of Aragon,Kingdom of Spain,2763390.0353627205
Gupta Empire,Maitraka Dynasty,2754110.673034668
Western Roman Empire,Visigothic Kingdom,2745050.2499285936
Kingdom of Axum,Himyarite Kingdom,2737897.992196083
Assyrian Egypt,Twenty-sixth Dynasty of Egypt,2737441.738308631
Kalabhra Dynasty,Stateless & unmapped,2732866.3621673584
Duchy of Bavaria,Kingdom of Bavaria,2719728.918823242
Italian Africa,British Africa,2719400.3892597705
Kadamba Empire,Stateless & unmapped,2716092.467590332
(Batavian Republic),Netherlands,2713611.5001296997
Chauhan Dynasty,Ghaznavid Empire,2712622.8397979736
Bahmani Sultanate,Ahmadnagar Sultanate,2700840.735473633
Nicaean Empire,Byzantine Empire,2685401.7966506258
Stateless & unmapped,Nanyue,2665515.5474842484
Kingdom of Poland,(Kingdom of Poland),2663745.7963881195
Stateless & unmapped,Portuguese Empire,2659509.9150729887
Stateless & unmapped,Xianbei,2656990.6133006527
Four Oirats,Mongol Khanate,2647369.638015425
Stateless & unmapped,Paramara Dynasty,2641640.703704834
Kingdom of Sicily,Kingdom of Naples,2639827.007381439
Safavid Dynasty,Ottoman Empire,2625758.4258428738
Western Jin,Later Zhao,2618245.9771080017
Cambodia,Nguyễn dynasty,2614634.1348667145
Eastern Roman Empire,Stateless & unmapped,2605758.8693209365
Assyrian Egypt,Neo-Babylonian Empire,2603290.8737341897
Durrani Empire,Kashmir and Jammu,2601459.4129108638
(Kingdom of Poland),House of Jagiellon,2599913.563100219
Stateless & unmapped,Gorkha Kingdom,2596535.6967071965
Cao Cao,Cao Wei,2595511.9790453315
Xianbei,Stateless & unmapped,2587552.1920064297
Bahmani Sultanate,Bidar Sultanate,2585628.660246372
Stateless & unmapped,Achaemenid Empire,2582024.2811648
Berar Sultanate,Mughal Empire,2581437.9396972656
Trịnh lords,Tây Sơn dynasty,2575719.8948278427
Duchy of Burgundy,Habsburg Monarchy,2575403.3972444534
Kara-Khitans,Mongol Empire,2570663.7968436927
British Colonial Empire,Jamaica,2567706.7873687744
Sultanate of Bengal,Stateless & unmapped,2552749.3030548096
Timurid Empire,Aq Qoyunlu,2552326.4133534282
Bahmani Sultanate,Vijayanagara Empire,2546579.6610832214
Umayyad Caliphate,Emirate of Córdoba,2532787.274784714
Almoravid Dynasty,Almohad Caliphate,2525218.8599250317
Byzantine Empire,Nicaean Empire,2524674.1384790726
Golden Horde,Qing Dynasty,2523396.839477537
Kingdom of Württemberg,German Empire,2520175.1187591553
Greek City-States,Roman Republic,2492772.6225628336
French Africa,Mauritania,2488273.6517862678
Umayyad Caliphate,Stateless & unmapped,2488057.96274588
Mataram Sultanate,Dutch Republic,2476260.223461151
Imamate of Yemen,Ottoman Empire,2475065.666275978
Western Roman Empire,Salian Franks,2470697.352804959
Habsburg Monarchy,Kingdom of Spain,2467631.5425109863
Ming Dynasty,Stateless & unmapped,2458386.49094373
Ottoman Empire,French Consulate,2456311.6006593704
Western Roman Empire,Vandal Kingdom,2453465.482961558
Republic of Venice,(Habsburg Monarchy),2452836.2317905426
Western Satraps,Vakataka Kingdom,2442996.4433135986
Stateless & unmapped,Kingdom of Mysore,2441629.183898926
Rashtrakuta Dynasty,Gurjara-Pratihara Dynasty,2437489.1229305267
Mongolian People's Republic,Mongolia,2425986.843855031
Qara Qoyunlu,Aq Qoyunlu,2418617.809089415
Gurjara-Pratihara Dynasty,Rashtrakuta Dynasty,2416626.861433983
Middle Franks,Kingdom of Italy,2416195.668234214
Indo-Greeks,Stateless & unmapped,2405364.677302306
Himyarite Kingdom,Rashidun Caliphate,2391548.5904741287
Kingdom of Kush,Assyrian Egypt,2376634.8129482344
Kidarites,White Huns,2375526.3347117454
Goryeo,Yuan Dynasty,2366322.2206726074
(Kingdom of England),Kingdom of France,2353619.887752533
Kingdom of Naples,Kingdom of Spain,2353484.807849884
(Holy Roman Empire),French Consulate,2350801.9223327637
Stateless & unmapped,Ptolemaic Kingdom,2336935.7166414075
Emirate of Bukhara,Union of Soviet Socialist Republics,2336398.595091611
Indo-Sasanian Empire,Kidarites,2335740.697243333
Indus Valley Civilization,Stateless & unmapped,2333395.730990641
Holy Roman Empire Minor States,German Confederation,2322968.9719848633
Swedish Empire,Russian Empire,2318425.0728047118
Vijayanagara Empire,Golconda Sultanate,2311247.769831419
Stateless & unmapped,Rashidun Caliphate,2302946.835810896
Stateless & unmapped,Neo-Assyrian Empire,2283661.5256117233
Indo-Parthians,Kushan Empire,2273821.387020111
Emirate of Córdoba,Caliphate of Córdoba,2261807.827071637
Tang Dynasty,Wuyue,2259237.1619504616
Duchy of Aquitaine,(Kingdom of England),2255730.480877459
Stateless & unmapped,Tsardom of Russia,2247904.1367872264
Stateless & unmapped,Michoacán,2239790.776404232
Abbasid Caliphate,Ziyadid dynasty,2232694.5948314667
Bahmani Sultanate,Berar Sultanate,2232240.298461914
Khmer Empire,French Indochina,2229270.856663227
British Colonial Empire,United States of America,2229063.6560655385
Eastern Kushans,Gupta Empire,2222776.039507866
Grand Duchy of Lithuania,House of Jagiellon,2220001.8939349093
British Colonial Empire,Republic of Singapore,2218826.71875
Himyarite Kingdom,Kingdom of Axum,2201442.711186409
Rasulid Dynasty,Tahirid Sultanate,2201406.2547063828
Spanish Empire,Republic of New Granada,2201075.6358326226
Yuan Dynasty,Stateless & unmapped,2196679.925590444
Byzantine Empire,Second Bulgarian Empire,2194709.915033743
Indo-Scythians,Indo-Parthians,2187754.937171519
Stateless & unmapped,Great Jin,2183851.962093763
Electorate of Hanover,Kingdom of Hanover,2181672.9775619507
British Africa,Lesotho,2180788.010574341
French Fourth Republic,Federated Republic of Germany,2180400.872314453
Wuyue,Northern Song,2175191.3239323124
Ayutthaya Kingdom,Rattanakosin Kingdom,2172011.455008924
Thanjavur Maratha Kingdom,Carnatic Sultanate,2170451.1889648438
Sokoto Caliphate,French Africa,2163999.4343566895
Grand Principality of Moscow,Tsardom of Russia,2162576.895713728
Spanish Empire,Republic of Peru,2156583.462418191
Grand Duchy of Baden,German Empire,2152897.8801879883
Socialist Federal Republic of Yugoslavia,Republic of Slovenia,2149501.9086170197
Wattasid dynasty,Saadi Sultanate,2132662.1835598946
Tahirid Sultanate,Ottoman Empire,2124069.0864830017
Ostrogothic Kingdom,Eastern Roman Empire,2122239.4715476483
Yadava Dynasty,Kakatiya Dynasty,2106972.5289964676
Grand Duchy of Hesse,German Empire,2105961.933227539
Kimek-Kipchak confederation,Mongol Empire,2098874.1556060202
Ottoman Empire,Socialist Federal Republic of Yugoslavia,2098496.666334212
Qasimids,Imamate of Yemen,2097780.870294571
Nepal,British Empire,2089996.4087364674
Kingdom of Norway,United Kingdoms of Sweden and Norway,2083921.0778189301
Stateless & unmapped,Kalinga,2073510.5254342465
Later Zhao,Later Qin,2069262.585473597
Zaporozhian Cossacks,Russian Empire,2058657.2087785602
Ptolemaic Kingdom,Seleucid Empire,2054105.2608424274
Afsharid Iran,Mughal Empire,2051462.1002197266
Majapahit,Stateless & unmapped,2045538.256983474
Pandya Dynasty,Stateless & unmapped,2044712.6205749512
Timurid Empire,Stateless & unmapped,2040857.8557541482
Abbasid Caliphate,Hamdanid Emirates,2040833.7874768376
Ayyubid Sultanate,Rasulid Dynasty,2033415.5469436646
Pala Empire,Gurjara-Pratihara Dynasty,2030928.5594482422
Dutch Republic,(Batavian Republic),2030411.6739587784
Ottoman Empire,Kingdom of Greece,2027802.3007645607
Principality of Moldavia,United Principalities of Moldavia and Wallachia,2022567.3690052032
Nanzhao,Tang Dynasty,2020557.5521476865
Ottoman Empire,Qasimids,2017128.6549549103
House of Habsburg,Kingdom of Spain,2007295.6547799408
Tang Dynasty,Nanzhao,2006705.9508687258
Polish-Lithuanian Commonwealth,Electorate of Saxony,2004822.564666748
Northern Wei,Western Wei,2001321.7032203563
First Bulgarian Empire,Byzantine Empire,1999792.2259448022
Stateless & unmapped,Asuka Japan,1992030.6200708598
Stateless & unmapped,Bijapur Sultanate,1975166.6308153272
Socialist Federal Republic of Yugoslavia,Former Yugoslav Republic of Macedonia,1974690.0308423042
Kingdom of Dali,Yuan Dynasty,1973105.3199181557
Ilkhanate,Jalayirid Sultanate,1969355.441399783
Marinid Sultanate,Almohad Caliphate,1961746.492720127
Natalia Republic,South Africa,1956214.896554947
Mongol Khanate,Golden Horde,1950167.3600290958
Kingdom of Spain,Kingdom of France,1942855.7440567017
Kingdom of Great Britain,Kuwait,1920529.0929495096
Russian Empire,Republic of Latvia,1916496.9982862473
Aq Qoyunlu,Ottoman Empire,1910817.934267804
Stateless & unmapped,Yuan Dynasty,1902354.5374374148
Roman Empire,Stateless & unmapped,1900244.5142589808
Najahid Dynasty,Ayyubid Sultanate,1896178.0971412659
Stateless & unmapped,Timurid Empire,1893264.7232033238
Electorate of Hesse,German Empire,1875150.550354004
South Africa,Namibia,1873804.5449122488
Kingdom of Jordan,State of Israel,1872337.7212619781
Ottoman Empire,Kingdom of Saudi Arabia,1867151.677724585
Duchy of Holstein,German Empire,1863273.3055810928
Kingdom of Italy,Kingdom of the Franks,1855120.1921118945
Tibet,Qing Dynasty,1848655.400983736
Jaunpur Sultanate,Stateless & unmapped,1843347.4708251953
(Habsburg Monarchy),Russian Empire,1840585.5476531982
Holy Roman Empire,Kingdom of Bohemia,1839652.4426727295
Ilkhanate,Stateless & unmapped,1835998.7158895358
Socialist Federal Republic of Yugoslavia,Kosovo,1832408.5778770447
Bahmani Sultanate,Stateless & unmapped,1827013.0770263672
Kingdom of Hungary,Kingdom of Spain,1825975.6364135295
Seleucid Empire,Roman Republic,1825626.6869969654
(Kingdom of England),Norman England,1824394.174879074
Kashmir and Jammu,Islamic Republic of Pakistan,1823222.6795970201
Kashmiri Sultanate,Mughal Empire,1819383.799344167
Ziyadid dynasty,Najahid Dynasty,1810063.6227054596
Halych-Volhynia occupation,Mongol Empire,1803168.1246538907
Western Roman Empire,Kingdom of the Suebi,1802134.8930482864
Nayaks of Thanjavur,Thanjavur Maratha Kingdom,1798624.3295898438
Norman Italy,Kingdom of Sicily,1789387.1535606384
Stateless & unmapped,Kingdom of England,1786988.1517013311
Lydia,Achaemenid Empire,1786404.0454094491
Hafsid Dynasty,Ottoman Empire,1781937.5039825737
Stateless & unmapped,Almoravid Dynasty,1773510.8909462716
Ashanti Empire,British Africa,1771103.7844523191
Ptolemaic Kingdom,Laomedon,1768626.2264327868
Stateless & unmapped,Kakatiya Dynasty,1764283.7560873032
Blue Horde,Golden Horde,1751544.2263799608
Abbasid Caliphate,Buyid Dynasty,1751502.812374115
Zhou Dynasty,Wu,1749727.3574900925
Demak Sultanate,Mataram Sultanate,1748768.7418670654
Twenty-third Dynasty of Egypt,Kingdom of Kush,1745733.3357529915
Golden Horde,Stateless & unmapped,1744207.1892356984
Stateless & unmapped,Pandya Empire,1742187.9893419743
Macedonian Empire,Kingdom of Lysimachus,1739865.4204010253
French Second Republic,German Empire,1720702.8532619476
British Africa,Republic of Botswana,1691026.2875339985
Qatar Protectorate,Sultanate of Oman,1688166.7495048046
Kingdom of León,Crown of Castile,1688110.8310611844
Tang Dynasty,Liao Dynasty,1685450.8109060526
Middle Kingdom of Egypt,New Kingdom of Egypt,1685091.2876275815
Early Cholas,Late Pallava Empire,1672027.322418213
Saadi Sultanate,Morocco,1668196.9815557003
Majapahit,Demak Sultanate,1667929.2292690277
Singhasari,Majapahit,1665315.0949897766
British Colonial Empire,New Zealand,1657931.758540839
Qajar Dynasty,Russian Empire,1656271.6124169827
Achaemenid Empire,Stateless & unmapped,1645673.2877444008
Aghlabid Dynasty,Fatimid Caliphate,1643921.9086403027
Abbasid Caliphate,Abbasid Caliphate/Buyid Dynasty,1642009.7133861482
Eastern Kushans,Western Satraps,1638362.0987209082
Ottoman Empire,First Hellenic Republic,1629820.600224495
Turk Shahis,Samanid Empire,1627026.6969943494
Kakatiya Dynasty,Vijayanagara Empire,1626041.098181963
Northern Yuan,Four Oirats,1624076.2571000592
Kashmir,Kashmiri Sultanate,1623456.129826665
New Kingdom of Egypt,Twenty-third Dynasty of Egypt,1620591.3317452935
Holy Roman Empire,House of Habsburg,1620111.0831604004
Greek City-States,Stateless & unmapped,1615697.5077229613
Byzantine Empire,Ottoman Empire,1612215.470291905
Balhae,Liao Dynasty,1611465.056413129
Stateless & unmapped,Funj Sultanate,1610541.2990354896
Stateless & unmapped,Ethiopia,1606332.5070326328
Kingdom of the Suebi,Visigothic Kingdom,1602268.8150959015
Bidar Sultanate,Golconda Sultanate,1598093.808746338
Kediri Kingdom,Singhasari,1597087.3888263702
Rattanakosin Kingdom,French Indochina,1594090.8629800081
Former Yan,Western Jin,1592109.1210250854
Hunnic Empire,Stateless & unmapped,1583906.5914287493
Tibet,People's Republic of China,1580437.0267035365
Stateless & unmapped,Ashanti Empire,1577952.363134712
Carthage,Roman Republic,1576353.5089848156
Almohad Caliphate,Hafsid Dynasty,1569998.756546706
Holy Roman Empire Minor States,Kingdom of Bavaria,1563371.9839630127
Abbasid Caliphate/Buyid Dynasty,Buyid Dynasty,1560759.4081062675
Bijapur Sultanate,Kingdom of Mysore,1558586.3606567383
Ghaznavid Empire,Great Seljuk Empire,1554369.203142779
Sind-Habbari Dynasty,(Delhi Sultanate),1549853.7421722412
Fihrids,Aghlabid Dynasty,1544930.363828212
Pandya Empire,Hoysala Kingdom,1535862.5891723633
Vijayanagara Empire,Nayaks of Thanjavur,1535442.0729980469
Spanish Empire,Bolivia,1532145.5019329265
Vandal Kingdom,Eastern Roman Empire,1531053.4485206828
Wei,Han Dynasty,1529359.2250852846
Irish Catholic Confederation,Kingdom of England,1527284.7838653326
Yuan Dynasty,Northern Yuan,1524934.8364003124
Ottoman Empire,Serbs,1517821.2117023468
Liang Dynasty,Stateless & unmapped,1513128.38173002
(Kalmar Union),Denmark-Norway,1509848.3972973232
Ottoman Empire,Austria-Hungary,1505105.215270996
House of Savoy,Kingdom of Sardinia,1504046.2968597412
Hoysala Kingdom,Pandya Empire,1502580.2831726074
Indo-Greeks,Kanva Dynasty,1499385.106340316
(Dutch Republic),Dutch Republic,1496189.4603427649
Dutch Republic,British Empire,1495885.4762713313
Unified Silla,Goryeo,1484475.6623039246
Afsharid Iran,Stateless & unmapped,1484463.2968077809
Angevin Empire,(Kingdom of England),1483887.4718170166
Ottoman Empire,Muhammad Ali dynasty,1480846.1490899995
Hittites,Stateless & unmapped,1476682.0553989485
Stateless & unmapped,Kimek-Kipchak confederation,1474568.2337558754
Stateless & unmapped,Liao Dynasty,1473496.5771978498
Visigothic Kingdom,Kingdom of the Franks,1471767.6006516665
Abbasid Caliphate,Stateless & unmapped,1471427.0638139732
Ottoman Empire,Regency of Algiers,1469894.811176777
Stateless & unmapped,Nanzhao,1458976.9938158542
Electorate of Saxony,Polish-Lithuanian Commonwealth,1458868.0916137695
Late Pallava Empire,Rashtrakuta Dynasty,1458753.0746942759
Stateless & unmapped,Byzantine Empire,1456817.8735007942
Early Cheras,Late Pallava Empire,1452890.87600708
Gurjara-Pratihara Dynasty,Chauhan Dynasty,1452022.4802786112
Yuezhi,Kushan Empire,1448607.2295871489
Kalinga,Satavahana Dynasty,1446678.8759219982
Khanate of Khiva,Union of Soviet Socialist Republics,1446102.2627102435
Western Roman Empire,Stateless & unmapped,1444664.4142764062
Bidar Sultanate,Bijapur Sultanate,1443508.242944181
Vakataka Kingdom,Gupta Empire,1443131.8200286627
Stateless & unmapped,Rouran Khaganate,1442380.2538323994
Early Pandyas,Late Pallava Empire,1438693.4524536133
Golden Horde,Grand Duchy of Lithuania,1435144.3989287391
Yan,Han Dynasty,1429801.284705353
Kalabhra Dynasty,Late Pallava Empire,1426597.2584841251
Chauhan Dynasty,(Delhi Sultanate),1422711.6970366836
Idrisids,Caliphate of Córdoba,1418009.6297955513
Holy Roman Empire Minor States,Kingdom of Württemberg,1415982.310333252
House of Bourbon,Kingdom of France,1411182.5303955078
Marinid Sultanate,Wattasid dynasty,1410841.3511263132
(Kingdom of Denmark),Kingdom of Denmark,1402911.2351383418
Khanate of Bukhara,Emirate of Bukhara,1402024.2556579635
Aquitaine,Kingdom of the Franks,1398687.0467481017
Mauretania,Roman Empire,1394569.4863922596
Zengid dynasty,Ayyubid Sultanate,1389031.1356535852
Avar Khaganate,Stateless & unmapped,1375978.4974830002
Huns,Hunnic Empire,1369022.7843449935
Great Seljuk Empire,Ghurid Dynasty,1357687.541558966
Timurid Empire,Safavid Dynasty,1357507.5132558718
Merina Kingdom,French Africa,1350185.8134384155
Middle Franks,East Franks,1343385.685804367
Habsburg Monarchy,Kingdom of Prussia,1339853.2818145752
Caliphate of Córdoba,Stateless & unmapped,1336956.8342388868
Rouran Khaganate,Stateless & unmapped,1336457.7663784325
Sind-Samma Dynasty,Stateless & unmapped,1333646.6207790375
Samo's Empire,Stateless & unmapped,1328714.4459648132
Kazakh Khanate,Khanate of Bukhara,1326996.81176861
Stateless & unmapped,Visigothic Kingdom,1323232.1138411462
Stateless & unmapped,Empire of Japan,1320042.622420311
Laomedon,Ptolemaic Kingdom,1319890.2925905155
Denmark-Norway,Kingdom of Norway,1316452.264258504
Huns,Eastern Roman Empire,1315266.0953928828
Zhou Dynasty,Chu,1314283.103142336
Mongol Empire,Stateless & unmapped,1313636.8737509325
Later Qin,Liu Song Dynasty,1312911.9164750576
