year,polity_id,country_iso,population
850,Pala Empire,NPL,1627624.2808350045
850,Viking settlements,DEU,43770.91282811009
850,Viking settlements,FRA,22031.02977448612
850,Viking settlements,FRO,4180.839288465082
850,Viking settlements,GBR,87187.65599524994
850,Viking settlements,IMN,2335.8957367812136
850,Viking settlements,IRL,20123.817927760665
850,Viking settlements,NLD,41124.06214548661
850,Viking settlements,POL,15697.61281971306
850,Viking settlements,RUS,64345.97614623788
850,First Bulgarian Empire,ALB,10826.049378285099
850,First Bulgarian Empire,BGR,457988.74016188143
850,First Bulgarian Empire,BIH,2544.3786108180757
850,First Bulgarian Empire,GRC,78991.03741170371
850,First Bulgarian Empire,HRV,1413.3876745989678
850,First Bulgarian Empire,HUN,164849.5252316217
850,First Bulgarian Empire,MDA,31641.372504231815
850,First Bulgarian Empire,MKD,116224.27667375331
850,First Bulgarian Empire,ROU,538237.4656525383
850,First Bulgarian Empire,SRB,334213.8204303373
850,First Bulgarian Empire,TUR,221.85282877706376
850,First Bulgarian Empire,UKR,220921.612091374
850,Duchy of Benevento,ITA,298964.35349559784
850,Tang Dynasty,CHN,27572884.868627068
850,Tang Dynasty,HKG,7873.161802174675
850,Tang Dynasty,LAO,357.43264034545837
850,Tang Dynasty,MAC,223.0280793055848
850,Tang Dynasty,VNM,553395.0572558241
850,Kara-Khanids,CHN,164777.05263243467
850,Kara-Khanids,KAZ,173745.4740136273
850,Kara-Khanids,KGZ,79950.32069027763
850,Kara-Khanids,TJK,15.010108080227527
850,Kara-Khanids,UZB,224.16951713781228
850,Makuria,EGY,20976.022808534937
850,Makuria,SDN,52731.03567187682
850,Papal States,ITA,386414.91364652215
850,Papal States,VAT,17.257188972884702
850,County of Aragon,ESP,13040.68302952892
850,County of Aragon,FRA,279.47546732776823
850,Duchy of Croatia,BIH,32521.36262903664
850,Duchy of Croatia,HRV,86934.619110842
850,Principality of Serbia,ALB,1981.2990406835306
850,Principality of Serbia,BIH,109456.30951235065
850,Principality of Serbia,HRV,723.9431163743778
850,Principality of Serbia,MNE,70308.62947245117
850,Principality of Serbia,SRB,41203.51492404299
850,Middle Franks,AUT,361.6896852238149
850,Middle Franks,BEL,282152.4764581332
850,Middle Franks,CHE,199465.41559554546
