country_iso,year,gdppc
DNK,2000,39021.1776
DNK,2015,44635.0
DOM,1950,1637.0
DOM,2000,6788.0839
DOM,2015,13762.0
DZA,1850,958.0
DZA,1900,1638.139534883721
DZA,1950,2176.0
DZA,2000,6834.5539
DZA,2015,14004.0
ECU,1900,1098.0
ECU,1950,2970.0
ECU,2000,6908.243
ECU,2015,10905.0
EGY,50,1119.2263374485597
EGY,100,1122.5185185185185
EGY,150,1125.8106995884773
EGY,200,1129.102880658436
EGY,250,1132.3950617283951
EGY,300,1135.687242798354
EGY,350,1138.9794238683128
EGY,400,1142.2716049382716
EGY,450,1145.5637860082304
EGY,500,1148.8559670781892
EGY,550,1152.1481481481483
EGY,600,1155.440329218107
EGY,650,1158.732510288066
EGY,700,1162.0246913580247
EGY,750,1148.5925925925926
EGY,800,1110.0740740740741
EGY,850,1071.5555555555557
EGY,900,1033.037037037037
EGY,950,994.5185185185185
EGY,1000,956.0
EGY,1050,996.0
EGY,1100,1036.0
EGY,1150,1055.0
EGY,1200,1060.0
EGY,1250,1065.0
EGY,1300,972.0
EGY,1350,1068.0
EGY,1400,1164.0
EGY,1450,1124.0
EGY,1500,1084.0
EGY,1550,1064.0
EGY,1600,1044.0
EGY,1650,1024.0
EGY,1700,1004.0
EGY,1750,984.0
EGY,1800,964.0
EGY,1850,1099.4
EGY,1900,1529.1860465116279
EGY,1950,1450.9724
EGY,2000,6593.5318
EGY,2015,11159.0
ESP,50,909.4726791277259
ESP,100,933.4243925233645
ESP,150,957.3761059190031
ESP,200,981.3278193146417
ESP,250,1005.2795327102804
ESP,300,1029.231246105919
ESP,350,1053.1829595015577
ESP,400,1077.1346728971962
ESP,450,1101.086386292835
ESP,500,1125.0380996884735
ESP,550,1148.989813084112
ESP,600,1172.9415264797508
ESP,650,1196.8932398753893
ESP,700,1220.844953271028
ESP,750,1244.7966666666666
ESP,800,1268.7483800623054
ESP,850,1292.700093457944
ESP,900,1316.6518068535825
ESP,950,1340.6035202492212
ESP,1000,1364.5552336448598
ESP,1050,1388.5069470404983
ESP,1100,1412.458660436137
ESP,1150,1436.4103738317758
ESP,1200,1460.3620872274141
ESP,1250,1484.3138006230529
ESP,1300,1510.0149999999999
ESP,1350,1536.82
ESP,1400,1368.0477777777778
ESP,1450,1375.9899999999998
ESP,1500,1402.795
ESP,1550,1474.275
ESP,1600,1510.0149999999999
ESP,1650,1349.185
ESP,1700,1375.99
ESP,1750,1402.795
ESP,1800,1510.0149999999999
ESP,1850,1706.0
ESP,1900,2676.0
ESP,1950,3464.0
ESP,2000,26994.8601
ESP,2015,31847.0
EST,1900,6367.847457627119
EST,1950,11457.677966101695
EST,2000,16806.9746
EST,2015,24493.0
ETH,1950,622.0
ETH,2000,771.7315
ETH,2015,1553.0
FIN,1600,1191.0
FIN,1650,1246.0
FIN,1700,1331.0
FIN,1750,1486.0
FIN,1800,1213.0
FIN,1850,1519.0
FIN,1900,2659.0
FIN,1950,6779.0
FIN,2000,32689.7689
FIN,2015,36836.0
FRA,50,969.9835809225958
FRA,100,984.2525410476935
FRA,150,998.5215011727912
FRA,200,1012.790461297889
FRA,250,1027.0594214229868
FRA,300,1041.3283815480845
FRA,350,1055.5973416731822
FRA,400,1069.86630179828
FRA,450,1084.1352619233776
FRA,500,1098.4042220484753
FRA,550,1112.6731821735732
FRA,600,1126.942142298671
FRA,650,1141.2111024237686
FRA,700,1155.4800625488663
FRA,750,1169.749022673964
FRA,800,1184.0179827990619
FRA,850,1198.2869429241596
FRA,900,1212.5559030492573
FRA,950,1226.824863174355
FRA,1000,1241.0938232994527
FRA,1050,1255.3627834245503
FRA,1100,1269.631743549648
FRA,1150,1283.900703674746
FRA,1200,1298.1696637998436
FRA,1250,1312.4386239249413
FRA,1300,1423.0
FRA,1350,1897.0
FRA,1400,1795.0
FRA,1450,1812.0
FRA,1500,1694.0
FRA,1550,1490.0
FRA,1600,1610.0
FRA,1650,1659.0
FRA,1700,1694.0
FRA,1750,1677.0
FRA,1800,1789.6451612903227
FRA,1850,2546.0
FRA,1900,4584.0
FRA,1950,8266.0
FRA,2000,33409.6815
FRA,2015,36827.0
GAB,1950,2958.0
GAB,2000,10637.7997
GAB,2015,18389.0
GBR,1000,1151.0
GBR,1050,1184.531746031746
GBR,1100,1218.063492063492
GBR,1150,1251.595238095238
GBR,1200,1285.126984126984
GBR,1250,1318.6587301587301
GBR,1300,1159.0
GBR,1350,1314.0
GBR,1400,1717.0
GBR,1450,1683.0
GBR,1500,1697.0
GBR,1550,1654.0
GBR,1600,1691.0
GBR,1650,1446.0
GBR,1700,2412.0
GBR,1750,2702.0
GBR,1800,3343.0
GBR,1850,4332.0
GBR,1900,7594.0
GBR,1950,11061.0
GBR,2000,31946.0363
GBR,2015,36941.0
GEO,2000,4891.6641
GEO,2015,10603.0
GHA,1900,1080.2325581395348
GHA,1950,1788.0
GHA,2000,2100.2931
GHA,2015,3809.0
GIN,1950,520.0
GIN,2000,1046.5671
GIN,2015,1364.0
GMB,1950,982.0
GMB,2000,1440.8619
GMB,2015,1786.0
GNB,1950,462.0
GNB,2000,1230.6406
GNB,2015,1393.0
GNQ,1950,797.0
GNQ,2000,12914.8513
GNQ,2015,37822.0
GRC,50,1282.0076419213974
GRC,100,1289.1582969432313
GRC,150,1296.3089519650655
GRC,200,1303.4596069868996
GRC,250,1310.6102620087336
GRC,300,1317.7609170305677
GRC,350,1324.9115720524017
GRC,400,1332.0622270742358
GRC,450,1339.21288209607
GRC,500,1346.363537117904
GRC,550,1353.514192139738
GRC,600,1360.664847161572
GRC,650,1367.8155021834061
GRC,700,1374.9661572052403
GRC,750,1382.1168122270742
GRC,800,1389.2674672489084
GRC,850,1396.4181222707423
GRC,900,1403.5687772925764
GRC,950,1410.7194323144104
GRC,1000,1417.8700873362445
GRC,1050,1425.0207423580787
GRC,1100,1432.1713973799126
GRC,1150,1439.3220524017468
GRC,1200,1446.4727074235807
GRC,1250,1453.6233624454148
GRC,1300,1460.774017467249
GRC,1350,1467.924672489083
GRC,1400,1475.075327510917
GRC,1450,1482.225982532751
GRC,1500,1489.3766375545852
