polity_id,year,urban_pop
Achaemenid Empire,-500,800909.0909090909
Achaemenid Empire,-450,845974.025974026
Achaemenid Empire,-400,768070.6328186129
Achaemenid Empire,-350,375112.5158027813
Afghanistan,2015,1424000.0
Afsharid Iran,1750,579327.8865976477
Aghlabid Dynasty,800,80000.0
Aghlabid Dynasty,850,87500.0
Aghlabid Dynasty,900,200000.0
Ahmadnagar Sultanate,1500,176468.0177040757
Ahmadnagar Sultanate,1550,142749.45475558034
Ahmadnagar Sultanate,1600,131805.5259653795
Ahmadnagar Sultanate,1650,110864.30688421582
Almohad Caliphate,1150,612031.6916488223
Almohad Caliphate,1200,881554.4908613961
Almohad Caliphate,1300,275000.0
Almoravid Dynasty,1100,679935.541998303
Almoravid Dynasty,1150,25809.52380952381
Almoravid Dynasty,1200,23000.0
Alodia,1000,30000.0
Alodia,1050,28750.0
Alodia,1100,27500.0
Alodia,1150,26250.0
Alodia,1200,25000.0
Alodia,1250,22500.0
Alodia,1300,20000.0
Ambrosian Republic,1450,155972.14998280013
Angevin Empire,1150,30000.0
Angevin Empire,1200,77880.52935973683
Anglo-Saxon England,450,34234.02617397998
Anglo-Saxon England,500,34618.9376443418
Antigonid Macedonia,-250,202628.4584980237
Anurādhapura,-100,230000.0
Anurādhapura,-50,225844.87534626038
Anurādhapura,0,221689.75069252076
Anurādhapura,50,267029.5755337307
Anurādhapura,100,313379.5013850415
Anurādhapura,150,309224.37673130195
Anurādhapura,200,305069.2520775623
Anurādhapura,250,250914.1274238227
Anurādhapura,300,196759.00277008308
Anurādhapura,350,192603.8781163435
Anurādhapura,400,188448.75346260387
Anurādhapura,450,184293.62880886428
Anurādhapura,500,180138.50415512465
Anurādhapura,550,175983.37950138503
Anurādhapura,600,171828.2548476454
Anurādhapura,650,100000.0
Anurādhapura,700,100000.0
Anurādhapura,750,100000.0
Anurādhapura,800,100000.0
Anurādhapura,850,100000.0
Anurādhapura,900,100000.0
Aq Qoyunlu,1450,68496.50327266759
Aq Qoyunlu,1500,826453.1519836541
Aquitaine,750,7457.627118644068
Arab Republic of Egypt,2000,12362000.0
Arab Republic of Egypt,2015,12362000.0
Argentine Confederation,1900,333000.0
Argentine Republic,1950,1644000.0
Argentine Republic,2000,2235000.0
Argentine Republic,2015,2235000.0
Armenian Kingdom of Cilicia,1100,46666.666666666664
Armenian Kingdom of Cilicia,1150,93000.0
Armenian Kingdom of Cilicia,1200,42000.0
Armenian Kingdom of Cilicia,1250,41000.0
Armenian Kingdom of Cilicia,1300,40000.0
Armenian Kingdom of Cilicia,1350,39000.0
Ashanti Empire,1750,45000.0
Ashanti Empire,1800,40000.0
Ashanti Empire,1850,25000.0
Ashikaga Shogunate,1350,153081.2905844156
Ashikaga Shogunate,1400,238903.125
Ashikaga Shogunate,1450,266789.172979798
Assyria,-1250,67500.0
Assyria,-1000,12000.0
Assyrian Egypt,-650,438714.2857142857
Astrakhan Khanate,1500,22737.300435413646
Astrakhan Khanate,1550,20995.645863570393
Athenian Coalition,-320,128333.33333333333
Austria-Hungary,1900,5401000.0
Austrian Empire,1850,1449241.223611111
Ava Kingdom,1400,103769.1001697793
Ava Kingdom,1450,110797.96264855687
Ava Kingdom,1500,60000.0
Ayutthaya Kingdom,1450,100000.0
Ayutthaya Kingdom,1500,125000.0
Ayutthaya Kingdom,1550,150000.0
Ayutthaya Kingdom,1600,351953.15076052997
Ayutthaya Kingdom,1650,125000.0
Ayutthaya Kingdom,1700,150000.0
Ayutthaya Kingdom,1750,160000.0
Ayyubid Sultanate,1200,1402456.6627775417
Aztec Triple Alliance,1450,140021.0807918673
Aztec Triple Alliance,1500,232247.94007490636
Babylonia,-1750,84166.66666666667
Babylonia,-1500,203750.0
Babylonia,-1250,196458.33333333334
Babylonia,-1000,160000.0
Babylonia,-950,160000.0
Babylonia,-900,160000.0
Babylonia,-850,160000.0
Babylonia,-650,210000.0
Bagratid Armenia,1000,175000.0
Bahmani Sultanate,1400,265048.0007439236
Bahmani Sultanate,1450,271229.3189953094
Bamana Empire,1750,25000.0
Bamana Empire,1800,30000.0
Belgian Congo,1950,334000.0
Beylik of Karaman,1350,32295.454545454544
Beylik of Karaman,1400,74590.90909090909
Beylik of Karaman,1450,96886.36363636363
Beylik of Saruhan,1350,77571.42857142858
Beylik of Saruhan,1400,77142.85714285714
Beylik of Tunis,1750,91871.6577540107
Beylik of Tunis,1800,110000.0
Beylik of Tunis,1850,109000.0
Bijapur Sultanate,1500,155942.61954261956
Bijapur Sultanate,1550,151376.24049453918
Bijapur Sultanate,1600,389786.25237687316
Bijapur Sultanate,1650,539824.5045418927
Bolivia,1850,87687.0
Bolivia,1900,54000.0
Bolivia,1950,321000.0
Bornu Empire,1500,40000.0
Bornu Empire,1550,40000.0
Bornu Empire,1600,80000.0
Bornu Empire,1650,85000.0
Bornu Empire,1700,80000.0
Bornu Empire,1750,80000.0
Bornu Empire,1800,80000.0
Bornu Empire,1850,20000.0
Brandenburg-Prussia,1650,63499.553502010356
Brandenburg-Prussia,1700,85423.94322312619
Brazilian Republic,1900,1713860.0
Brazilian Republic,1950,7345666.666666667
British Africa,1900,2013735.9667359667
British Colonial Empire,1750,91285.0
British Colonial Empire,1800,12000.0
British Colonial Empire,1900,1537000.0
British Colonial Empire,1950,527000.0
British Empire,1800,961744.7244324303
British Empire,1850,3155590.2045259634
Burgundian Kingdom,500,24666.666666666668
Burgundian Kingdom,650,78875.092229979
Burma,1850,403076.3809675029
Burma,1950,600000.0
Buyid Dynasty,1000,2428071.555174385
Buyid Dynasty,1050,425398.2180293501
Byzantine Empire,650,368481.15588115586
Byzantine Empire,700,361633.1623931624
Byzantine Empire,750,354785.1689051689
Byzantine Empire,800,297937.1754171754
Byzantine Empire,850,283269.45403802546
Byzantine Empire,900,384132.34490377345
Byzantine Empire,950,375203.5691028548
Byzantine Empire,1000,801858.1266352695
Byzantine Empire,1050,707055.9042280642
Byzantine Empire,1100,535213.752554723
Byzantine Empire,1150,449393.1039759881
Byzantine Empire,1200,361251.70068027213
Byzantine Empire,1300,276658.5232633199
Byzantine Empire,1350,128383.91257682185
Byzantine Empire,1400,42000.0
Byzantine Empire,1450,22179.48717948718
Caliphate of Córdoba,950,709096.9265650585
