polity_id,year,urban_pop
Habsburg Monarchy,1550,127069.09902308506
Habsburg Monarchy,1600,164702.18181818182
Habsburg Monarchy,1650,101735.8947368421
Habsburg Monarchy,1700,98815.84158415842
Habsburg Monarchy,1750,549939.5170274912
Habsburg Monarchy,1800,768601.0099009902
Hafsid Dynasty,1250,110588.23529411765
Hafsid Dynasty,1300,88716.57754010695
Hafsid Dynasty,1350,115820.77377947427
Hafsid Dynasty,1400,127722.03050499197
Hafsid Dynasty,1450,147328.20526329655
Hafsid Dynasty,1500,151934.38002160113
Hafsid Dynasty,1550,145959.0397087268
Haiti,1800,11666.666666666666
Halych-Volhynia occupation,1100,23091.603053435116
Halych-Volhynia occupation,1150,22137.404580152674
